participantId,trialId,trialOrder,responseId,parameters,status,rejectReason,rejectTime,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,cleanedDuration,configHash,parameters_condition_chart,parameters_condition_texture
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","participantTags","null","participantTags","null","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","welcome","0","","{}","completed","undefined","undefined","100.00","undefined","","undefined","undefined","undefined","undefined","undefined","2025-03-23T05:14:40.672Z","2025-03-24T02:48:50.519Z","77649847","467728","81515060be4d98643a84ed1c3bb265219015b771ce3ca625b8204b6dc2ee9a5b","undefined","undefined"
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","consent","1","","{}","completed","undefined","undefined","100.00","undefined","","undefined","undefined","undefined","undefined","undefined","2025-03-24T02:48:50.725Z","2025-03-24T02:49:07.737Z","17012","17012","81515060be4d98643a84ed1c3bb265219015b771ce3ca625b8204b6dc2ee9a5b","undefined","undefined"
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","demographics","2","gender","{}","completed","undefined","undefined","100.00","Basic demographic questions including gender, age, and education","undefined","What is your **gender**?","Woman","undefined","undefined","undefined","2025-03-24T02:49:07.850Z","2025-03-24T02:49:24.497Z","16647","16647","81515060be4d98643a84ed1c3bb265219015b771ce3ca625b8204b6dc2ee9a5b","undefined","undefined"
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","demographics","2","gender-other","{}","completed","undefined","undefined","100.00","Basic demographic questions including gender, age, and education","undefined","undefined","","undefined","undefined","undefined","2025-03-24T02:49:07.850Z","2025-03-24T02:49:24.497Z","16647","16647","81515060be4d98643a84ed1c3bb265219015b771ce3ca625b8204b6dc2ee9a5b","undefined","undefined"
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","demographics","2","age","{}","completed","undefined","undefined","100.00","Basic demographic questions including gender, age, and education","undefined","What is your **age**?","42","undefined","0","120","2025-03-24T02:49:07.850Z","2025-03-24T02:49:24.497Z","16647","16647","81515060be4d98643a84ed1c3bb265219015b771ce3ca625b8204b6dc2ee9a5b","undefined","undefined"
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","demographics","2","experience","{}","completed","undefined","undefined","100.00","Basic demographic questions including gender, age, and education","undefined","For how many years have you worked or studied in the field of visualization design?","10","undefined","0","120","2025-03-24T02:49:07.850Z","2025-03-24T02:49:24.497Z","16647","16647","81515060be4d98643a84ed1c3bb265219015b771ce3ca625b8204b6dc2ee9a5b","undefined","undefined"
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","description_pie","3","","{""condition_chart"":1}","completed","undefined","undefined","100.00","undefined","","undefined","undefined","undefined","undefined","undefined","2025-03-24T02:49:24.554Z","2025-03-24T02:49:34.143Z","9589","9589","81515060be4d98643a84ed1c3bb265219015b771ce3ca625b8204b6dc2ee9a5b","1","undefined"
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","tutorial_pie_icon-geo","4","answer","{""condition_chart"":1,""condition_texture"":1}","completed","undefined","undefined","100.00","undefined","### Get Familiar with the Pattern Design Tool 

 Now you can play with the tool and try each function out. Once you are familiar with the tool, click the **Next** button below.","undefined","[object Object]","undefined","undefined","undefined","2025-03-24T02:49:34.163Z","2025-03-24T02:51:57.364Z","143201","143201","81515060be4d98643a84ed1c3bb265219015b771ce3ca625b8204b6dc2ee9a5b","1","1"
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","pie-icon_icon-geo","5","answer","{""condition_chart"":1,""condition_texture"":1}","completed","undefined","undefined","100.00","undefined","### Now it's your turn to design an effective set of patterns for data visualization.

 Imagine you are asked to create a chart with pattern for a high-resolution e-ink display which can only show black and white content. This chart shows the result of a survey about people's favourite vegetables. 

 Please adjust the pattern parameters to create an aesthetically pleasing and readable visualization.

 Please optimize for datasets in general. Click the change data set button to test your design on different random data sets, and click the default data set button to test your design on a default data set.

When you finish designing, click on the **Next** button. There is no time limit for this task, but keep in mind that we will ask you to complete one other design after this one.","get-measurements","[object Object]","undefined","undefined","undefined","2025-03-24T02:51:57.513Z","2025-03-24T02:56:01.784Z","244271","244271","81515060be4d98643a84ed1c3bb265219015b771ce3ca625b8204b6dc2ee9a5b","1","1"
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","between-two-design","6","","{}","completed","undefined","undefined","100.00","undefined","","undefined","undefined","undefined","undefined","undefined","2025-03-24T02:56:02.000Z","2025-03-24T02:56:05.725Z","3725","3725","81515060be4d98643a84ed1c3bb265219015b771ce3ca625b8204b6dc2ee9a5b","undefined","undefined"
"1adc8e8a-f066-4e15-8ae1-15bf1054eab0","pie-geo_icon-geo","7","answer","{""condition_chart"":1,""condition_texture"":1}","completed","undefined","undefined","100.00","undefined","### Now it's your turn to design an effective set of patterns for data visualization.

 Imagine you are asked to create a chart with pattern for a high-resolution e-ink display which can only show black and white content. This chart shows the result of a survey about people's favourite vegetables. 

 Please adjust the pattern parameters to create an aesthetically pleasing and readable visualization.

 Please optimize for datasets in general. Click the change data set button to test your design on different random data sets, and click the default data set button to test your design on a default data set.

 When you finish designing, click on the **Next** button. There is no time limit for this task. This is the last design task.","get-measurements","[object Object]","undefined","undefined","undefined","2025-03-24T02:56:05.760Z","2025-03-24T02:58:53.379Z","167619","149817","81515060be4d98643a84ed1c3bb265219015b771ce3ca625b8204b6dc2ee9a5b","1","1"
